Test_Depth,Size,Coded_Site,C,Si,Mn,S,Cr,Mo,Ni,Al,V,H_Temp,Coded_Cool,T_Temp,Imp_Temp,Charpy Energy
12.5,271,4,0.43,0.23,0.79,0.0008,1.02,0.19,0.25,0.035,0.005,870,3,580,-20,61.3333
12.5,300,4,0.41,0.27,0.86,0.02,1.07,0.23,0.23,0.023,0.005,860,3,650,20,69.3333
25.4,95.25,3,0.42,0.24,0.92,0.004,1.05,0.23,0.16,0.036,0.005,860,3,705,-32,117.3333
12.5,145,4,0.42,0.26,0.8,0.001,1.09,0.21,0.23,0.016,0.004,860,3,630,20,120
12.7,240,3,0.42,0.24,0.71,0.022,1.15,0.21,0.21,0.029,0.004,860,3,640,20,62.9333
12.7,150,6,0.43,0.26,0.73,0.025,1.1,0.22,0.2,0.037,0.004,840,3,650,20,102
25.4,75,6,0.4,0.27,0.85,0.002,1.07,0.22,0.2,0.033,0.005,870,3,570,-32,34.6667
12.7,320,3,0.41,0.24,0.74,0.021,1.13,0.2,0.22,0.023,0.004,860,3,640,20,65.3333
12.7,105,3,0.41,0.22,0.58,0.031,1.22,0.27,1.41,0.029,0.004,850,2,640,20,105.3333
12.7,210,4,0.41,0.25,0.72,0.026,1.14,0.22,0.26,0.03,0.004,860,3,630,20,114.4
12.5,300,4,0.41,0.27,0.86,0.02,1.07,0.23,0.23,0.023,0.005,860,3,640,20,65.6667
12.5,340,4,0.41,0.22,0.92,0.022,1.14,0.23,0.1,0.036,0.005,860,3,630,-20,62.6667
12.5,107.95,3,0.42,0.25,0.96,0.004,1.07,0.23,0.15,0.03,0.005,870,3,705,-45,63.271
12.7,170,3,0.32,0.23,0.52,0.002,1.07,0.24,0.15,0.026,0.004,870,3,660,-32,101.233
12.7,120,3,0.275,0.24,0.43,0.022,2.1,0.37,1.96,0.029,0.004,860,2,570,20,92
12.7,220,3,0.42,0.24,0.77,0.025,1.07,0.2,0.26,0.031,0.004,860,3,660,20,118.3333
12.5,260,4,0.44,0.26,0.77,0.027,1.07,0.2,0.3,0.025,0.005,860,3,650,20,94.6667
25.4,158.75,4,0.42,0.27,0.95,0.018,1.08,0.24,0.18,0.024,0.005,860,3,690,-32,53
12.5,100,3,0.42,0.24,0.94,0.018,1.16,0.23,0.16,0.02,0.005,870,3,710,-32,144.3333
12.5,100,6,0.21,0.37,1.41,0.018,0.18,0.03,0.24,0.033,0.16,960,3,600,20,33
25.4,101.6,3,0.42,0.24,0.95,0.018,1.09,0.24,0.18,0.025,0.005,860,3,705,-32,85.6667
63.5,127,4,0.42,0.19,0.92,0.004,1.08,0.23,0.18,0.022,0.005,870,3,560,-32,36
47.625,95.25,3,0.42,0.22,0.96,0.007,1.06,0.24,0.21,0.024,0.005,870,3,710,-32,101
14.5,29,6,0.385,0.28,0.67,0.016,0.75,0.21,1.7,0.022,0.003,845,2,480,-40,17.1733
25.4,82.55,3,0.43,0.27,0.93,0.022,1.08,0.24,0.23,0.022,0.004,860,3,710,-32,114.6667
12.5,150,6,0.43,0.24,0.75,0.027,1.06,0.22,0.29,0.036,0.005,840,3,650,20,111.3333
47.625,95.25,3,0.42,0.25,0.93,0.004,1.06,0.23,0.21,0.026,0.005,870,3,705,-32,106.2043
12.5,30,6,0.41,0.23,0.78,0.024,1.06,0.18,0.2,0.028,0.005,840,3,575,20,64.3333
12.5,320,4,0.42,0.29,0.73,0.024,1.11,0.2,0.22,0.03,0.004,860,3,640,20,68.6667
25.4,177.8,3,0.47,0.26,1.11,0.019,1.16,0.32,0.2,0.026,0.012,860,3,610,23,73.3333
12.5,105,3,0.42,0.26,0.93,0.023,1.15,0.24,0.18,0.028,0.005,870,3,710,-32,152.6667
19.5,117,6,0.24,0.33,1.27,0.01,1.3,0.31,0.68,0.022,0.005,880,3,620,-20,148
12.5,140,3,0.41,0.23,0.55,0.02,1.24,0.27,1.44,0.025,0.004,850,2,620,20,100
25.4,330.2,3,0.41,0.24,0.96,0.018,1.12,0.32,0.18,0.022,0.004,870,3,705,23,109.3333
12.5,290,3,0.325,0.22,0.53,0.004,1.04,0.24,0.25,0.035,0.005,870,3,660,-32,65.9823
25.4,107.95,3,0.42,0.23,0.91,0.016,1.03,0.24,0.23,0.02,0.005,860,3,705,-32,87.3333
12.5,190,4,0.43,0.3,0.75,0.025,1.11,0.21,0.2,0.032,0.005,860,3,650,20,89.6667
12.5,290,4,0.41,0.27,0.86,0.02,1.07,0.23,0.23,0.023,0.005,860,3,650,20,99
25.4,215.9,4,0.46,0.23,1.09,0.016,1.09,0.31,0.21,0.031,0.004,870,3,550,23,44.6667
53.975,107.95,3,0.42,0.2,0.95,0.009,1.04,0.24,0.14,0.03,0.005,870,3,705,-32,99.425
45,90,6,0.325,0.23,0.53,0.004,1.06,0.23,0.16,0.03,0.005,900,3,655,-46,77.3333
